codigo_uc;nome_uc;categoria_manejo;area_ha;grupo;ano;grupo_norm
2081;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAPÃO REDONDO;Reserva Particular do Patrimônio Natural;14.0;US;2022;US
2087;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURIÓ;Reserva Particular do Patrimônio Natural;13.0;US;2022;US
2095;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO CAJU;Reserva Particular do Patrimônio Natural;762.0;US;2022;US
2096;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO PEREIRA;Reserva Particular do Patrimônio Natural;220.0;US;2022;US
2097;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DONA BENTA E SEU CABOCLO;Reserva Particular do Patrimônio Natural;24.0;US;2022;US
2101;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTAÇÃO VERACEL;Reserva Particular do Patrimônio Natural;6069.0;US;2022;US
2107;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO TANGUÁ;Reserva Particular do Patrimônio Natural;118.0;US;2022;US
2115;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO NORTE I;Reserva Particular do Patrimônio Natural;304.0;US;2022;US
2116;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLOR DO NORTE II;Reserva Particular do Patrimônio Natural;171.0;US;2022;US
2119;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL HELICO;Reserva Particular do Patrimônio Natural;63.0;US;2022;US
2124;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACUBA VELHA;Reserva Particular do Patrimônio Natural;84.0;US;2022;US
2129;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI;Reserva Particular do Patrimônio Natural;23.0;US;2022;US
2134;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 (BOM JARDIM) E MATA 02,03 E 04 (TAPERA);Reserva Particular do Patrimônio Natural;297.0;US;2022;US
2135;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA 01 E 02 (MARINHEIRO) E MATA 03 (PEDRA DA URÇA);Reserva Particular do Patrimônio Natural;174.0;US;2022;US
2137;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO PROFESSOR BAPTISTA;Reserva Particular do Patrimônio Natural;9.0;US;2022;US
2139;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATUMBO;Reserva Particular do Patrimônio Natural;31.0;US;2022;US
2145;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO-DE-FOGO-RENDADO;Reserva Particular do Patrimônio Natural;104.0;US;2022;US
2147;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OURO VERDE;Reserva Particular do Patrimônio Natural;214.0;US;2022;US
2152;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PERNA DO PIRATA;Reserva Particular do Patrimônio Natural;19.0;US;2022;US
2153;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTAL CURUPIRA;Reserva Particular do Patrimônio Natural;50.0;US;2022;US
2157;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA;Reserva Particular do Patrimônio Natural;498.0;US;2022;US
2162;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CAPITÃO;Reserva Particular do Patrimônio Natural;660.0;US;2022;US
2182;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARIA VICENTINI LOPES;Reserva Particular do Patrimônio Natural;392.0;US;2022;US
2187;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SÃO JOSÉ;Reserva Particular do Patrimônio Natural;77.0;US;2022;US
2190;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA TERRAVISTA I;Reserva Particular do Patrimônio Natural;228.0;US;2022;US
2191;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA TERRAVISTA II;Reserva Particular do Patrimônio Natural;144.0;US;2022;US
2194;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIACHO DAS PEDRAS;Reserva Particular do Patrimônio Natural;397.0;US;2022;US
2196;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL I;Reserva Particular do Patrimônio Natural;89.0;US;2022;US
2197;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL II;Reserva Particular do Patrimônio Natural;401.0;US;2022;US
2198;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL III;Reserva Particular do Patrimônio Natural;357.0;US;2022;US
2199;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL IV;Reserva Particular do Patrimônio Natural;75.0;US;2022;US
2200;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL V;Reserva Particular do Patrimônio Natural;54.0;US;2022;US
2202;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO JARDIM;Reserva Particular do Patrimônio Natural;7.0;US;2022;US
2207;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA I;Reserva Particular do Patrimônio Natural;97.0;US;2022;US
2208;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA II;Reserva Particular do Patrimônio Natural;159.0;US;2022;US
2209;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA III;Reserva Particular do Patrimônio Natural;160.0;US;2022;US
2215;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SUMIDOURO E SÍTIO PEITO DE POMBA;Reserva Particular do Patrimônio Natural;43.0;US;2022;US
2221;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORROS;Reserva Particular do Patrimônio Natural;508.0;US;2022;US
2223;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRIÂNGULO;Reserva Particular do Patrimônio Natural;57.0;US;2022;US
2225;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TUIM;Reserva Particular do Patrimônio Natural;96.0;US;2022;US
2239;REFÚGIO DE VIDA SILVESTRE MATA LANÇO DOS CAÇÕES;Refúgio de Vida Silvestre;48.0;PI;2022;PI
2240;REFÚGIO DE VIDA SILVESTRE MATA DO AMPARO;Refúgio de Vida Silvestre;178.0;PI;2022;PI
2241;REFÚGIO DE VIDA SILVESTRE MATA ENGENHO MACAXEIRA;Refúgio de Vida Silvestre;60.0;PI;2022;PI
2242;REFÚGIO DE VIDA SILVESTRE MATA DE JAGUARIBE;Refúgio de Vida Silvestre;107.0;PI;2022;PI
2243;REFÚGIO DE VIDA SILVESTRE MATA DO ENGENHO SÃO JOÃO;Refúgio de Vida Silvestre;33.0;PI;2022;PI
2244;REFÚGIO DE VIDA SILVESTRE MATA DE SANTA CRUZ;Refúgio de Vida Silvestre;53.0;PI;2022;PI
2247;REFÚGIO DE VIDA SILVESTRE MATA DE MIRITIBA;Refúgio de Vida Silvestre;284.0;PI;2022;PI
2248;REFÚGIO DE VIDA SILVESTRE MATA DE BOM JARDIM;Refúgio de Vida Silvestre;227.0;PI;2022;PI
2249;REFÚGIO DE VIDA SILVESTRE MATA DO CONTRA-AÇUDE;Refúgio de Vida Silvestre;131.0;PI;2022;PI
2250;REFÚGIO DE VIDA SILVESTRE MATA DO URUCU;Refúgio de Vida Silvestre;532.0;PI;2022;PI
2251;REFÚGIO DE VIDA SILVESTRE MATA SERRA DO COTOVELO;Refúgio de Vida Silvestre;88.0;PI;2022;PI
2252;REFÚGIO DE VIDA SILVESTRE SERRA DO CUMARU;Refúgio de Vida Silvestre;356.0;PI;2022;PI
2253;REFÚGIO DE VIDA SILVESTRE MATAS DO SISTEMA GURJAÚ;Refúgio de Vida Silvestre;1348.0;PI;2022;PI
2254;REFÚGIO DE VIDA SILVESTRE MATA DA USINA SÃO JOSÉ;Refúgio de Vida Silvestre;290.0;PI;2022;PI
2267;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPO ESCOTEIRO GERALDO HUGO NUNES;Reserva Particular do Patrimônio Natural;20.0;US;2022;US
2274;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO II;Reserva Particular do Patrimônio Natural;53.0;US;2022;US
2275;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GOTAS AZUIS;Reserva Particular do Patrimônio Natural;7.0;US;2022;US
2293;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ;Reserva Particular do Patrimônio Natural;41.0;US;2022;US
2310;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BARRA DO SANA;Reserva Particular do Patrimônio Natural;162.0;US;2022;US
2311;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA SEBUÍ;Reserva Particular do Patrimônio Natural;401.0;US;2022;US
2318;RPPN SERRA DO ITATINS;Reserva Particular do Patrimônio Natural;75.0;US;2022;US
2321;PARQUE MUNICIPAL NATURAL DA BOA ESPERANÇA;Parque;427.0;PI;2022;PI
2345;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MUTUM PRETO;Reserva Particular do Patrimônio Natural;378.0;US;2022;US
2346;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DAS ANTAS;Reserva Particular do Patrimônio Natural;2245.0;US;2022;US
