ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Lei da Mata Atlântica;Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Amazônia Legal;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Sobreposição com TI ou TQ;Biomas Abrangidos;Região;Presente na versão anterior;Diferença Área;Razão Diferença Área;Qualidade dos dados georreferenciados;Data da última certificação dos dados pelo Órgão Gestor
3658;0000.00.3658;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA VOLTA VELHA - PE. PIET VAN DER AART;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2018;Portaria 82 de 31/01/2018;Sem informação.: Sem informação.;ITAPOÁ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;285,0613548;285;285;;0;0;0;285;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3660;0000.00.3660;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRAVA BEACH INTERNACIONAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2018;Portaria 276 de 04/04/2018;Sem informação.;ITAJAÍ (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;5,694623663;6;6;;0;0;0;6;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3664;0000.00.3664;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS ÁGUAS E DAS MATAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2017;Portaria 544 de 24/08/2017;Sem informação.;TAPEROÁ (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;10,69914201;11;11;;0;0;0;11;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3666;0000.00.3666;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2017;Portaria 546 de 24/08/2017;Sem informação.;TAPEROÁ (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;37,10815962;37;37;;0;0;0;37;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3667;0000.00.3667;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUERANA MILAGROSA;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2016;Portaria 78 de 02/08/2016;Sem informação.: Sem informação.;URUÇUCA (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;94,03414833;94;94;;0;0;0;94;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3668;0000.00.3668;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS NASCENTES;Federal;Reserva Particular do Patrimônio Natural;Category IV;BA;2017;Portaria 545 de 24/08/2017;Sem informação.;TAPEROÁ (BA);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;22,71114836;23;23;;0;0;0;23;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3673;0000.00.3673;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JARDIM DOS BEIJA-FLORES;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2017;Portaria 497 de 27/07/2017;Sem informação.;PAULO LOPES (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;6,14020037;6;6;;0;0;0;6;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 9 de maio de 2018
3683;0000.00.3683;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO VERMELHO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SC;2016;Portaria 52 de 20/05/2016;Sem informação.;FLORIANÓPOLIS (SC);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;76,18898278;76;74;;0;0;0;76;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;segunda-feira, 14 de maio de 2018
3687;0000.00.3687;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUNAS DOURADAS;Federal;Reserva Particular do Patrimônio Natural;Category IV;RN;2016;Portaria 2 de 06/01/2016;Sem informação.;EXTREMOZ (RN);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;166,1834619;166;166;;0;0;0;166;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;;;;;1;0;;Polígono corresponde ao memorial descritivo;segunda-feira, 14 de maio de 2018
3688;0210.42.3688;;PARQUE NATURAL MUNICIPAL CAMINHO DO PEABIRU;Municipal;Parque;Category II;SC;2017;Decreto 428 de 19/06/2007;Redução: Lei ordinária 1642 de 13/12/2017;BARRA VELHA (SC);Não;Sim;FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE BARRA VELHA - SC;0;429;429;429;;0;0;0;429;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;;0;1;1;;;;;;;;;;1;0;;Polígono é uma representação esquemática da localização da UC;quarta-feira, 9 de maio de 2018
3689;0555.33.3689;;ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA CAMBRAIA;Municipal;Área de Proteção Ambiental;Category V;RJ;2018;Decreto 1070/2015 de 27/03/2015;Retificação: Decreto 1341/2018 de 20/12/2018;SEROPÉDICA (RJ);Não;Sim;SECRETARIA MUNICIPAL DE AMBIENTE E AGRONEGÓCIO DE SEROPÉDICA - RJ;1;2433,832287;2.434;2.433;;0;0;0;2.434;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;4,09E-12;;Polígono corresponde ao memorial descritivo;quinta-feira, 27 de dezembro de 2018
3697;0190.33.3697;;PARQUE NATURAL MUNICIPAL PALEONTOLÓGICO DE SÃO JOSÉ DE ITABORAÍ;Municipal;Parque;Category II;RJ;2018;Decreto 102 de 16/10/2018;Sem informação.;ITABORAÍ (RJ);Sim;Sim;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E URBANISMO DE ITABORAÍ - RJ;1;125,4354444;125;125;;0;0;0;125;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;0;;Polígono corresponde ao memorial descritivo;quarta-feira, 29 de novembro de 2023
3698;0490.33.3698;;ÁREA DE PROTEÇÃO AMBIENTAL DAS ESTÂNCIAS DE PENDOTIBA;Municipal;Área de Proteção Ambiental;Category V;RJ;2019;Decreto 112/2018 de 06/06/2018;Convalidação de Ato Legal pretérito: Decreto 66/2019 de 20/03/2019;SÃO GONÇALO (RJ);Não;Não;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DO MUNICÍPIO DE SÃO GONÇALO - RJ;1;92,91746807;93;93;;0;0;0;93;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;;0;1;1;;;;;;RB - Mt Atlântica;;;;1;-1,42E-14;;Polígono é uma estimativa dos limites da UC;quarta-feira, 14 de agosto de 2019
