ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
58,0000.00.0058,,ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,Federal,Estação Ecológica,Category Ia,AP,1981,1981,Decreto 86061 de 02/06/1981,Sem informação.,AMAPÁ (AP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,58756.95919,54788.37768,72000,,54788.37768,0,0,0,0,0,3968.58151,Amazônia,Proteção Integral,1,0,,1,1,1,ARPA,,Sítios Ramsar,,,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
59,0000.00.0059,,ESTAÇÃO ECOLÓGICA DE MURICI,Federal,Estação Ecológica,Category Ia,AL,2001,2001,Decreto S/N de 28/05/2001,Sem informação.,FLEXEIRAS (AL) - MESSIAS (AL) - MURICI (AL),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,6131.593269,6131.593269,6116.43,,0,0,0,6131.593269,0,0,0,Mata Atlântica,Proteção Integral,1,0,,0,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
63,0000.00.0063,,ESTAÇÃO ECOLÓGICA DE TAMOIOS,Federal,Estação Ecológica,Category Ia,RJ,1990,1990,Decreto 98864 de 23/01/1990,Sem informação.,ANGRA DOS REIS (RJ) - PARATY (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,8660.360247,287.1679359,700,,0,0,0,287.1679359,0,0,8373.192311,Área Marinha,Proteção Integral,1,0,,1,1,1,,,,Mosaico Bocaina,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
64,0000.00.0064,,ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Federal,Estação Ecológica,Category Ia,SP,1987,1987,Decreto 94656 de 20/07/1987,Sem informação.,SÃO SEBASTIÃO (SP) - UBATUBA (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,2463.607353,23.16319193,27.82,,0,0,0,23.16319193,0,0,2440.444161,Área Marinha,Proteção Integral,1,0,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
67,0000.00.0067,,ESTAÇÃO ECOLÓGICA DO JARI,Federal,Estação Ecológica,Category Ia,"AP, PA",1984,1984,Decreto 87092 de 12/04/1982,Ampliação: Decreto 89.440 de 13/03/1984,ALMEIRIM (PA) - LARANJAL DO JARI (AP),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,231112.4673,231112.4673,207370,,231112.4673,0,0,0,0,0,0,Amazônia,Proteção Integral,1,0,,0,0,0,ARPA,,,,,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
70,0000.00.0070,,ESTAÇÃO ECOLÓGICA DO TAIM,Federal,Estação Ecológica,Category Ia,RS,2017,2017,Decreto 92963 de 21/07/1986,Ampliação: Decreto S/N de 05/06/2017,RIO GRANDE (RS) - SANTA VITÓRIA DO PALMAR (RS),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,32806.01119,32806.01119,10938.64,,0,0,0,0,32806.01119,0,0,Pampa,Proteção Integral,1,0,,0,1,1,,,Sítios Ramsar,,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
71,0000.00.0071,,ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Federal,Estação Ecológica,Category Ia,SP,1986,1986,Decreto 92964 de 21/07/1986,Sem informação.,CANANÉIA (SP) - ITANHAÉM (SP) - PERUÍBE (SP),Sim,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1727.714845,30.87312527,43.25,,0,0,0,30.87312527,0,0,1696.841719,Área Marinha,Proteção Integral,1,0,,1,1,1,,,,Mosaico do Litoral de São Paulo e Paraná (Lagamar),"RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica",Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
89,0000.00.0089,,FLORESTA NACIONAL DE CAXIUANÃ,Federal,Floresta,Category VI,PA,1961,1961,Decreto 239 de 28/11/1961,Sem informação.,GURUPÁ (PA) - MELGAÇO (PA) - PORTEL (PA) - PORTO DE MOZ (PA),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,317948.6241,317948.6241,200000,,317948.6241,0,0,0,0,0,0,Amazônia,Uso Sustentável,0,1,,0,1,1,,,,,,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
91,0000.00.0091,,FLORESTA NACIONAL DE GOYTACAZES,Federal,Floresta,Category VI,ES,2012,2012,Decreto S/N de 28/11/2002,Ampliação: Decreto S/N de 05/06/2012,LINHARES (ES),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1425.655045,1425.655045,1350,,0,0,0,1425.655045,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico da Foz do Rio doce,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
100,0000.00.0100,,FLORESTA NACIONAL DE NÍSIA FLORESTA,Federal,Floresta,Category VI,RN,2001,2001,Decreto S/N de 27/09/2001,Sem informação.,NÍSIA FLORESTA (RN),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,168.8461208,168.8461208,174,,0,0,0,168.8461208,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
