ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;Grupo;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Biomas Abrangidos
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1985;1997;Decreto 90883 de 31/01/1985;"Redução - Lei ordinária 9513 de 20/11/1997;";Antonina (PR), Campina Grande do Sul (PR), Guaraqueçaba (PR), Paranaguá (PR);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;282.441;282.220;283014;;0;0;0;282.220;0;0;221;Mata Atlântica;US;;1;1;1;;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Mata Atlântica;Mata Atlântica, Área Marinha
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;1983;Decreto 88421 de 21/06/1983;;Feliz Deserto (AL), Piaçabuçu (AL);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;9.107;9.036;9143;;0;0;0;9.036;0;0;71;Mata Atlântica;US;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;PI, MA, CE;1996;1996;Decreto S/N de 28/08/1996;;Ilha Grande (PI), Paulino Neves (MA), Tutóia (MA), Água Doce do Maranhão (MA), Araioses (MA), Chaval (CE), Barroquinha (CE), Luís Correia (PI), Parnaíba (PI), Cajueiro da Praia (PI);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;309.585;223.018;313800;;0;85.421;137.597;0;0;0;86.566;Cerrado;US;;1;1;1;GEF Mar;;Sítios Ramsar;;RB - Caatinga, RB - Mata Atlântica;Caatinga, Cerrado, Área Marinha
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;1996;Decreto s/n de 26/11/1996;;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Granja (CE), Moraújo (CE), Tianguá (CE);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;1.624.173;1.624.173;1592550;;0;990.073;634.100;0;0;0;0;Cerrado;US;;0;1;1;;;;;RB - Caatinga, RB - Mata Atlântica;Caatinga, Cerrado
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;1989;2010;Resolução 11 de 14/09/1989;"Recategorização - Decreto S/N.º de 13/04/2010;";Niterói (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;91;57;0;;0;0;0;57;0;0;34;Marinho;PI;;1;1;1;;;;Mosaico Carioca;RB - Mata Atlântica;Mata Atlântica, Área Marinha
36;0000.00.0036;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91889 de 05/11/1985;;Peruíbe (SP);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;359;359;79830;;0;0;0;359;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Mata Atlântica;Mata Atlântica
37;0000.00.0037;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91887 de 05/11/1985;;Peruíbe (SP);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;65;45;33;;0;0;0;45;0;0;20;Marinho;US;;1;1;1;;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Cinturão Verde da Cidade de São Paulo, RB - Mata Atlântica;Mata Atlântica, Área Marinha
39;0000.00.0039;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Federal;Área de Relevante Interesse Ecológico;Category IV;PB;1985;1985;Decreto 91890 de 05/11/1985;;Marcação (PB), Rio Tinto (PB);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;5.769;5.764;5721;;0;0;0;5.764;0;0;5;Mata Atlântica;US;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
52;0000.00.0052;;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Federal;Estação Ecológica;Category Ia;SC;1987;1987;Decreto 94656 de 20/07/1987;;Florianópolis (SC);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;759;743;619;;0;0;0;743;0;0;16;Mata Atlântica;PI;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
54;0000.00.0054;;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Federal;Estação Ecológica;Category Ia;PR;1982;1997;Decreto 87222 de 31/05/1982;"Ampliação - Decreto 93053 de 31/07/1986;Revisão dos limites - Lei ordinária 9513 de 20/11/1997;";Guaraqueçaba (PR);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;4.370;4.357;13639;;0;0;0;4.357;0;0;13;Marinho;PI;;1;1;1;;Reservas de Mata Atlântica do Sudeste (natural);Sítios Ramsar;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Mata Atlântica;Mata Atlântica, Área Marinha
