Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0212;RESERVA BIOLÓGICA DO TINGUÁ;Federal;Reserva Biológica;Category Ia;RJ;1989;Decreto 97780 de 23/05/1989;-;Duque de Caxias (RJ), Miguel Pereira (RJ), Nova Iguaçu (RJ), Petrópolis (RJ);Sim;Sim;24.813;0;0;0;24.813;0;0;0
0000.00.0214;RESERVA BIOLÓGICA MARINHA DO ARVOREDO;Federal;Reserva Biológica;Category Ia;SC;1990;Decreto 99142 de 12/03/1990;-;Bombinhas (SC), Florianópolis (SC), Governador Celso Ramos (SC);Sim;Sim;17.104;0;0;0;320;0;0;16.785
0000.00.0217;RESERVA BIOLÓGICA UNIÃO;Federal;Reserva Biológica;Category Ia;RJ;1998;Decreto S/N de 22/04/1998;Ampliação - Decreto S/N de 05/06/2017;Casimiro de Abreu (RJ), Macaé (RJ), Rio das Ostras (RJ);Sim;Sim;7.757;0;0;0;7.757;0;0;0
0000.00.0218;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL ITATUPã-BAQUIá;Federal;Reserva de Desenvolvimento Sustentável;Category VI;PA;2005;Decreto S/N de 14/06/2005;-;Gurupá (PA);Não;Sim;64.441;64.441;0;0;0;0;0;0
0000.00.0223;RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO;Federal;Reserva Extrativista;Category VI;PA;2002;Decreto S/N de 16/12/2002;-;Santarém Novo (PA);Não;Sim;2.783;2.783;0;0;0;0;0;0
0000.00.0225;RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAIBA;Federal;Reserva Extrativista;Category VI;MA, PI;2000;Decreto S/N de 16/11/2000;-;Água Doce do Maranhão (MA), Ilha Grande (PI);Não;Não;27.022;0;677;25.765;0;0;0;579
0000.00.0227;RESERVA EXTRATIVISTA MARACANÃ;Federal;Reserva Extrativista;Category VI;PA;2002;Decreto S/N de 13/12/2002;-;Maracanã (PA);Não;Não;30.179;18.297;0;0;0;0;0;11.882
0000.00.0228;RESERVA EXTRATIVISTA SÃO JOÃO DA PONTA;Federal;Reserva Extrativista;Category VI;PA;2002;Decreto S/N de 13/12/2002;-;São João da Ponta (PA);Não;Sim;3.409;3.409;0;0;0;0;0;0
0000.00.0231;RESERVA EXTRATIVISTA DO BATOQUE;Federal;Reserva Extrativista;Category VI;CE;2003;Decreto S/N de 05/06/2003;-;Aquiraz (CE);Não;Sim;601;0;599;0;0;0;0;3
0000.00.0234;RESERVA EXTRATIVISTA MANDIRA;Federal;Reserva Extrativista;Category VI;SP;2002;Decreto S/N de 13/12/2002;-;Cananéia (SP);Sim;Sim;1.178;0;0;0;1.178;0;0;0
0000.00.0243;RESERVA EXTRATIVISTA MAE GRANDE DE CURUÇA;Federal;Reserva Extrativista;Category VI;PA;2002;Decreto S/N de 13/12/2002;-;Curuçá (PA);Não;Sim;36.828;22.602;0;0;0;0;0;14.226
0000.00.0245;RESERVA EXTRATIVISTA MARINHA DA BAIA DE IGUAPÉ;Federal;Reserva Extrativista;Category VI;BA;2000;Decreto S/N de 11/08/2000;Revisão dos limites - Lei ordinária 12058 de 13/10/2009;Cachoeira (BA), Maragogipe (BA);Não;Sim;10.082;0;0;0;10.082;0;0;0
0000.00.0246;RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ;Federal;Reserva Extrativista;Category VI;AL;2001;Decreto S/N de 27/09/2001;-;Jequiá da Praia (AL);Não;Não;10.197;0;0;0;2.709;0;0;7.488
