ID_UC;Código UC;Informações Gerais;NOME DA UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área soma biomas;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha
1928;0000.26.1928;;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Estadual;Área de Proteção Ambiental;Category V;PE;2010;2010;Decreto 34692 de 17/03/2010;;Abreu e Lima (PE), Araçoiaba (PE), Camaragibe (PE), Igarassu (PE), Paudalho (PE), Paulista (PE), Recife (PE), São Lourenço da Mata (PE);Sim;Sim;31.662;31.634;;0;0;0;31.662;0;0;0
1929;0000.26.1929;;ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA CRUZ;Estadual;Área de Proteção Ambiental;Category V;PE;2008;2008;Decreto 32488 de 17/10/2008;;Goiana (PE), Itamaracá (PE), Itapissuma (PE);Sim;Sim;38.749;38.692;;0;0;0;25.526;0;0;13.224
1931;0000.23.1931;;PARQUE ESTADUAL BOTÂNICO DO CEARÁ;Estadual;Parque;Category II;CE;1996;2012;Decreto 24216 de 09/09/1996;"Recategorização - Decreto 30868 de 10/04/2012;";Caucaia (CE);Não;Sim;199;198;;0;199;0;0;0;0;0
1932;0000.23.1932;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO SÍTIO CURIÓ;Estadual;Área de Relevante Interesse Ecológico;Category IV;CE;2006;2006;Decreto 28333 de 28/07/2006;;Fortaleza (CE);Não;Sim;57;57;;0;57;0;0;0;0;0
1960;0080.15.1960;;AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA;Municipal;Área de Relevante Interesse Ecológico;Category IV;PA;2011;2011;Lei ordinária 2472 de 05/01/2011;;Ananindeua (PA);Não;Sim;4;4;;4;0;0;0;0;0;0
1964;0000.35.1964;;PARQUE ESTADUAL RESTINGA DE BERTIOGA;Estadual;Parque;Category II;SP;2010;2010;Decreto 56500 de 09/12/2010;;Bertioga (SP);Sim;Sim;9.319;9.312;;0;0;0;9.274;0;0;46
1988;0000.43.1988;;ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE;Estadual;Área de Proteção Ambiental;Category V;RS;1998;1998;Decreto 38971 de 23/10/1998;;Glorinha (RS), Gravataí (RS), Santo Antônio da Patrulha (RS), Viamão (RS);Não;Sim;137.042;136.935;;0;0;0;32.528;104.515;0;0
1993;0000.43.1993;;RESERVA BIOLÓGICA DO MATO GRANDE;Estadual;Reserva Biológica;Category Ia;RS;1975;1975;Decreto 23798 de 12/03/1975;;Arroio Grande (RS);Não;Não;4.843;5.161;;0;0;0;0;4.843;0;0
1994;0000.43.1994;;PARQUE ESTADUAL DE ITAPUÃ;Estadual;Parque;Category II;RS;1991;1991;Decreto 33886 de 11/03/1991;;Viamão (RS);Sim;Sim;6.022;5.553;;0;0;0;0;6.022;0;0
1995;0000.43.1995;;ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA;Estadual;Estação Ecológica;Category Ia;RS;1997;1997;Decreto 37345 de 11/04/1997;;Itatí (RS), São Francisco de Paula (RS);Sim;Não;6.042;5.882;;0;0;0;6.042;0;0;0
1996;0000.43.1996;;ÁREA DE PROTEÇÃO AMBIENTAL ROTA DO SOL;Estadual;Área de Proteção Ambiental;Category V;RS;1997;1997;Decreto 37346 de 11/04/1997;;Cambará do Sul (RS), Itatí (RS), São Francisco de Paula (RS), Três Forquilhas (RS);Sim;Não;52.355;52.355;;0;0;0;52.355;0;0;0
2006;0000.43.2006;;REFÚGIO DE VIDA SILVESTRE BANHADO DOS PACHECOS;Estadual;Refúgio de Vida Silvestre;Category III;RS;2002;2002;Decreto 41559 de 24/04/2002;;Viamão (RS);Não;Não;2.605;2.543;;0;0;0;0;2.605;0;0
2008;0000.43.2008;;RESERVA BIOLÓGICA ESTADUAL MATA PALUDOSA;Estadual;Reserva Biológica;Category Ia;RS;1998;2012;Decreto 38972 de 23/10/1998;"Ampliação - Decreto 49578 de 13/09/2012;";Itatí (RS);Não;Sim;272;113;;0;0;0;272;0;0;0
2010;0000.43.2010;;RESERVA BIOLÓGICA DA SERRA GERAL;Estadual;Reserva Biológica;Category Ia;RS;1982;2002;Decreto 30788 de 27/07/1982;"Ampliação - Decreto 41661 de 04/06/2002;";Itatí (RS), Maquiné (RS), Terra de Areia (RS);Sim;Sim;4.849;1.700;;0;0;0;4.849;0;0;0
2013;0000.29.2013;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RENASCER;Estadual;Reserva Particular do Patrimônio Natural;Category IV;BA;2010;2010;Portaria 142 de 05/11/2010;;Porto Seguro (BA);Não;Não;265;265;;0;0;0;265;0;0;0
2014;0000.29.2014;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO DO GUIGÓ I E II;Estadual;Reserva Particular do Patrimônio Natural;Category IV;BA;2010;2010;Portaria 133 de 08/10/2010;;Una (BA);Não;Não;93;95;;0;0;0;93;0;0;0
2018;0000.29.2018;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRONZON;Estadual;Reserva Particular do Patrimônio Natural;Category IV;BA;2010;2016;Portaria 134 de 08/10/2010;"Retificação - Portaria 12690 de 20/10/2016;";Prado (BA);Não;Não;151;36;;0;0;0;151;0;0;0
2028;0240.33.2028;;ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA;Municipal;Área de Proteção Ambiental;Category V;RJ;1989;2011;Lei ordinária 1.216/1989 de 15/09/1989;"Revisão dos limites - Decreto 018/2011 de 21/02/2011;";Macaé (RJ);Não;Não;47.319;47.319;;0;0;0;0;0;0;47.319
