Código UC,Nome da UC,Municípios Abrangidos
0000.27.3812,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CONCEIÇÃO LYRA IV,PENEDO (AL)
0000.27.3819,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIACHO SECO,CORURIPE (AL)
0000.27.3869,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL APOLINÁRIO,BARRA DE SANTO ANTÔNIO (AL)
0000.27.3879,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOCA DO RIO,BARRA DE SÃO MIGUEL (AL)
0000.27.3880,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO D'ÁGUA,BARRA DE SÃO MIGUEL (AL)
0000.27.3881,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PINDOBA,BARRA DE SÃO MIGUEL (AL)
0000.27.3882,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA CRISTINA,BARRA DE SÃO MIGUEL (AL)
0000.27.4041,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERENO,PORTO CALVO (AL) - PORTO DE PEDRAS (AL)
0000.27.4042,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ORIENTE,PORTO CALVO (AL)
0000.27.4108,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO BICA,JAPARATINGA (AL)
0000.27.4199,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GARABU,SÃO LUÍS DO QUITUNDE (AL)
0000.27.4203,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LUIZ JOAQUIM BARBOSA,MARECHAL DEODORO (AL)
0000.27.4345,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NELSON SIMÕES COSTA I,FELIZ DESERTO (AL) - PIAÇABUÇU (AL)
0000.27.4346,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NELSON SIMÕES COSTA II,FELIZ DESERTO (AL)
0000.27.4347,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NELSON SIMÕES COSTA III,FELIZ DESERTO (AL)
0000.27.4374,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REMY FERREIRA BARROS,FLEXEIRAS (AL) - MURICI (AL)
0000.27.4706,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MUTUM DE ALAGOAS II,CORURIPE (AL)
0000.27.4949,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AFRÂNIO MENEZES,CORURIPE (AL)
0000.27.4950,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MUTUM DE ALAGOAS I,CORURIPE (AL)
0000.27.4964,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA SÁLVIA,RIO LARGO (AL) - SATUBA (AL)
0000.28.0793,ÁREA DE PROTEÇÃO AMBIENTAL DO LITORAL SUL,ESTÂNCIA (SE) - INDIAROBA (SE) - ITAPORANGA D'AJUDA (SE) - SANTA LUZIA DO ITANHY (SE)
0000.28.0794,ÁREA DE PROTEÇÃO AMBIENTAL DO MORRO DO URUBU,ARACAJU (SE)
0000.28.4118,PARQUE ESTADUAL MARITUBA,BARRA DOS COQUEIROS (SE) - SANTO AMARO DAS BROTAS (SE)
0000.29.0299,ÁREA DE PROTEÇÃO AMBIENTAL JOANES - IPITANGA,CAMAÇARI (BA) - CANDEIAS (BA) - DIAS D'ÁVILA (BA) - LAURO DE FREITAS (BA) - SALVADOR (BA) - SÃO FRANCISCO DO CONDE (BA) - SÃO SEBASTIÃO DO PASSÉ (BA) - SIMÕES FILHO (BA)
0000.29.0301,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,CAIRU (BA) - JIQUIRIÇÁ (BA) - NILO PEÇANHA (BA) - TAPEROÁ (BA) - TEOLÂNDIA (BA) - UBAÍRA (BA) - VALENÇA (BA) - WENCESLAU GUIMARÃES (BA)
0000.29.0302,ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE,SALVADOR (BA)
0000.29.0303,ÁREA DE PROTEÇÃO AMBIENTAL GUAIBIM,VALENÇA (BA)
0000.29.0304,ÁREA DE PROTEÇÃO AMBIENTAL DAS ILHAS DE TINHARÉ E BOIPEBA,CAIRU (BA)
0000.29.0306,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS,ALCOBAÇA (BA) - CARAVELAS (BA)
0000.29.0308,ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA,PORTO SEGURO (BA) - SANTA CRUZ CABRÁLIA (BA)
0000.29.0309,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE,ITACARÉ (BA) - URUÇUCA (BA)
0000.29.0310,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,PORTO SEGURO (BA)
0000.29.0312,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,ALMADINA (BA) - COARACI (BA) - ILHÉUS (BA) - ITAJUÍPE (BA) - URUÇUCA (BA)
0000.29.0313,ÁREA DE PROTEÇÃO AMBIENTAL RIO CAPIVARA,CAMAÇARI (BA) - SALVADOR (BA)
0000.29.0315,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,SALVADOR (BA)
0000.29.0316,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA,CAMAÇARI (BA)
0000.29.0318,ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE PEDRA DO CAVALO,ANTÔNIO CARDOSO (BA) - CABACEIRAS DO PARAGUAÇU (BA) - CACHOEIRA (BA) - CONCEIÇÃO DA FEIRA (BA) - FEIRA DE SANTANA (BA) - GOVERNADOR MANGABEIRA (BA) - MURITIBA (BA) - SANTO ESTÊVÃO (BA) - SÃO FÉLIX (BA) - SÃO GONÇALO DOS CAMPOS (BA)
0000.29.0319,ÁREA DE PROTEÇÃO AMBIENTAL DO PRATIGI,IBIRAPITANGA (BA) - IGRAPIÚNA (BA) - ITUBERÁ (BA) - NILO PEÇANHA (BA) - PIRAÍ DO NORTE (BA)
0000.29.0320,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS,CACHOEIRA (BA) - CANDEIAS (BA) - ITAPARICA (BA) - JAGUARIPE (BA) - MADRE DE DEUS (BA) - MARAGOGIPE (BA) - SALINAS DA MARGARIDA (BA) - SALVADOR (BA) - SANTO AMARO (BA) - SÃO FRANCISCO DO CONDE (BA) - SAUBARA (BA) - SIMÕES FILHO (BA) - VERA CRUZ (BA)
0000.29.0321,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU,SALVADOR (BA) - SIMÕES FILHO (BA)
0000.29.0323,ÁREA DE PROTEÇÃO AMBIENTAL LITORAL NORTE,CONDE (BA) - ENTRE RIOS (BA) - ESPLANADA (BA) - JANDAÍRA (BA) - MATA DE SÃO JOÃO (BA)
0000.29.0325,PARQUE ESTADUAL DA SERRA DO CONDURU,ILHÉUS (BA) - ITACARÉ (BA) - URUÇUCA (BA)
0000.29.0326,ÁREA DE PROTEÇÃO AMBIENTAL DE MANGUE SECO,JANDAÍRA (BA)
0000.29.0327,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO,BELMONTE (BA) - SANTA CRUZ CABRÁLIA (BA)
0000.29.0328,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU,CAMAMU (BA) - ITACARÉ (BA) - MARAÚ (BA)
0000.29.1014,MONUMENTO NATURAL DOS CANIONS DO SUBAÉ,SANTO AMARO (BA)
0000.29.2013,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RENASCER,PORTO SEGURO (BA)
0000.29.2014,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO DO GUIGÓ I E II,UNA (BA)
0000.29.2018,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRONZON,PRADO (BA)
0000.29.2030,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOZI,PRADO (BA)
0000.29.2031,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMBRANÇA,PORTO SEGURO (BA)
0000.29.2056,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PIANISSOLI,PRADO (BA)
0000.29.2057,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENGELHARDT,PRADO (BA)
0000.29.2603,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOVA ANGÉLICA,UNA (BA)
0000.29.2703,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DEMUNER,PRADO (BA)
0000.29.2763,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CORUMBAU,PRADO (BA)
0000.29.2796,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO I,PORTO SEGURO (BA)
0000.29.2853,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MESTRE BONINA,ILHÉUS (BA)
0000.29.2854,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CORUMBAU I,PRADO (BA)
0000.29.2929,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MARIANA,CAMAMU (BA)
0000.29.2930,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOHEMIA,CAMAMU (BA)
0000.29.2931,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA LUKAVEC,CAMAMU (BA)
0000.29.2932,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BIANCA,CAMAMU (BA)
0000.29.2933,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA CHEFE ROSA.,CAMAMU (BA)
0000.29.2948,RESERVA PARTICULAR DE PATRIMÔNIO NATURAL RANCHO LETTY,PRADO (BA)
0000.29.3173,"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FERNANDES I, II E III",PRADO (BA)
0000.29.3201,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO JEQUITIBÁ,ENTRE RIOS (BA)
0000.29.3202,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMBRANÇA II,PORTO SEGURO (BA)
0000.29.3203,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DO CAHY,PRADO (BA)
0000.29.3206,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CANTASSURÍ,ITACARÉ (BA)
0000.29.3248,PARQUE ESTADUAL PONTA DA TULHA,ILHÉUS (BA)
0000.29.3278,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA ANA II,ITACARÉ (BA)
0000.29.3292,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS MORENAS,PORTO SEGURO (BA)
0000.29.3402,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA VITÓRIA PRIMAVERA,MARAÚ (BA)
0000.29.3403,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOA VISTA I,MARAÚ (BA)
0000.29.3404,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTO ANDRÉ,MARAÚ (BA)
0000.29.3412,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESPINITA,IGRAPIÚNA (BA)
0000.29.3413,RESERVA PARTICULAR PATRIMÔNIO NATURAL IRARA,CAMAMU (BA)
0000.29.3431,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA ANA I,ITACARÉ (BA)
0000.29.3433,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COTINGA-CREJOÁ,UNA (BA)
0000.29.3464,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL STANISLAS PRYL/MICO-LEÃO-DA-CARA-DOURADA,UNA (BA)
0000.29.3733,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LIMOEIRO,ESPLANADA (BA)
0000.29.3734,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PREGUIÇA-DE-COLEIRA,MARAÚ (BA)
0000.29.3793,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MACUQUINHO-BAIANO,ITUBERÁ (BA) - PIRAÍ DO NORTE (BA)
0000.29.3794,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA YOGO,JAGUARIPE (BA)
0000.29.3795,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA JACURUNA,JAGUARIPE (BA)
0000.29.4035,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOTERRA TICO TINGA,TAPEROÁ (BA)
0000.29.4133,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA GRAVINA,MARAÚ (BA)
0000.29.4238,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAPURÁ,ESPLANADA (BA)
0000.29.4239,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FALCÃO,ESPLANADA (BA)
0000.29.4402,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARUÁ,MATA DE SÃO JOÃO (BA)
0000.29.4614,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAPITÃO DA MATA,CAMAMU (BA)
0000.29.4664,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TIÊ-SANGUE,ITACARÉ (BA)
0000.29.4665,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO VALDEMAR E DA VITÓRIA,MUCURI (BA)
0000.29.4674,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO BOQUEIRÃO DA MATA,MUCURI (BA)
0000.29.4675,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA PEDREIRA,ILHÉUS (BA)
0000.32.0331,PARQUE ESTADUAL DE ITAÚNAS,CONCEIÇÃO DA BARRA (ES)
0000.32.0332,PARQUE ESTADUAL PAULO CÉSAR VINHA,GUARAPARI (ES)
0000.32.0333,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA GUANANDY,ITAPEMIRIM (ES) - PIÚMA (ES)
0000.32.0334,ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU,FUNDÃO (ES) - SANTA TERESA (ES)
0000.32.0335,ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE,SERRA (ES)
0000.32.0336,ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA,CONCEIÇÃO DA BARRA (ES)
0000.32.0338,ÁREA DE PROTEÇÃO AMBIENTAL DE SETIBA,GUARAPARI (ES) - VILA VELHA (ES)
0000.32.1533,MONUMENTO NATURAL O FRADE E A FREIRA,CACHOEIRO DE ITAPEMIRIM (ES) - ITAPEMIRIM (ES) - VARGEM ALTA (ES)
0000.32.1667,RESERVA BIOLÓGICA DE DUAS BOCAS,CARIACICA (ES) - SANTA LEOPOLDINA (ES) - VIANA (ES)
0000.32.1832,RESERVA ESTADUAL DE DESENVOLVIMENTO SUSTENTÁVEL CONCHA D´OSTRA,GUARAPARI (ES)
0000.32.2345,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MUTUM PRETO,LINHARES (ES)
0000.32.2346,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DAS ANTAS,LINHARES (ES)
0000.32.2347,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESTINGA DE ARACRUZ,ARACRUZ (ES)
0000.32.2353,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL YARA BRUNINI,PIÚMA (ES)
0000.32.2355,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO MACUCO,PRESIDENTE KENNEDY (ES)
0000.33.0723,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO,ANGRA DOS REIS (RJ)
0000.33.0724,ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL,ARMAÇÃO DOS BÚZIOS (RJ) - CABO FRIO (RJ)
0000.33.0726,ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA,MANGARATIBA (RJ)
0000.33.0727,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA,IGUABA GRANDE (RJ) - SÃO PEDRO DA ALDEIA (RJ)
0000.33.0728,RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL,ANGRA DOS REIS (RJ)
0000.33.0729,ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ,MARICÁ (RJ)
0000.33.0731,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE TAMOIOS,ANGRA DOS REIS (RJ)
0000.33.0735,ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA,MESQUITA (RJ) - NILÓPOLIS (RJ) - NOVA IGUAÇU (RJ) - RIO DE JANEIRO (RJ)
0000.33.0737,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU,CACHOEIRAS DE MACACU (RJ) - GUAPIMIRIM (RJ) - ITABORAÍ (RJ)
0000.33.1476,PARQUE ESTADUAL DA SERRA DA TIRIRICA,MARICÁ (RJ) - NITERÓI (RJ)
0000.33.1477,PARQUE ESTADUAL DA ILHA GRANDE,ANGRA DOS REIS (RJ)
0000.33.1478,PARQUE ESTADUAL DA PEDRA BRANCA,RIO DE JANEIRO (RJ)
0000.33.1479,PARQUE ESTADUAL DO DESENGANO,CAMPOS DOS GOYTACAZES (RJ) - SANTA MARIA MADALENA (RJ) - SÃO FIDÉLIS (RJ)
0000.33.1481,ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA,SÃO FRANCISCO DE ITABAPOANA (RJ)
0000.33.1482,RESERVA BIOLÓGICA ESTADUAL DE GUARATIBA,RIO DE JANEIRO (RJ)
0000.33.1485,PARQUE ESTADUAL DOS TRÊS PICOS,CACHOEIRAS DE MACACU (RJ) - GUAPIMIRIM (RJ) - NOVA FRIBURGO (RJ) - SILVA JARDIM (RJ) - TERESÓPOLIS (RJ)
0000.33.1512,AREA DE PROTEÇÃO AMBIENTAL DO RIO GUANDU,ENGENHEIRO PAULO DE FRONTIN (RJ) - ITAGUAÍ (RJ) - JAPERI (RJ) - MIGUEL PEREIRA (RJ) - NOVA IGUAÇU (RJ) - PARACAMBI (RJ) - PIRAÍ (RJ) - QUEIMADOS (RJ) - RIO CLARO (RJ) - SEROPÉDICA (RJ) - VASSOURAS (RJ)
0000.33.1514,ÁREA DE PROTEÇÃO AMBIENTAL DE MASSAMBABA,ARARUAMA (RJ) - ARRAIAL DO CABO (RJ) - SAQUAREMA (RJ)
0000.33.1620,PARQUE ESTADUAL CUNHAMBEBE,ANGRA DOS REIS (RJ) - ITAGUAÍ (RJ) - MANGARATIBA (RJ) - RIO CLARO (RJ)
0000.33.1837,ÁREA DE PROTEÇÃO AMBIENTAL DE SEPETIBA II,RIO DE JANEIRO (RJ)
0000.33.2267,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPO ESCOTEIRO GERALDO HUGO NUNES,MAGÉ (RJ)
0000.33.2274,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO II,SAQUAREMA (RJ)
0000.33.2275,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GOTAS AZUIS,SEROPÉDICA (RJ)
0000.33.2293,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DA LUZ,CASIMIRO DE ABREU (RJ)
0000.33.2641,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTE DO BAIÃO,MACAÉ (RJ)
0000.33.2717,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CARUARA,SÃO JOÃO DA BARRA (RJ)
0000.33.2721,PARQUE ESTADUAL DA LAGOA DO AÇU,CAMPOS DOS GOYTACAZES (RJ) - SÃO JOÃO DA BARRA (RJ)
0000.33.2732,PARQUE ESTADUAL DA COSTA DO SOL,ARARUAMA (RJ) - ARMAÇÃO DOS BÚZIOS (RJ) - ARRAIAL DO CABO (RJ) - CABO FRIO (RJ) - SÃO PEDRO DA ALDEIA (RJ) - SAQUAREMA (RJ)
0000.33.2805,ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO IGUAÇU,BELFORD ROXO (RJ) - DUQUE DE CAXIAS (RJ) - NOVA IGUAÇU (RJ)
0000.33.2904,PARQUE ESTADUAL DO MENDANHA,MESQUITA (RJ) - NOVA IGUAÇU (RJ) - RIO DE JANEIRO (RJ)
0000.33.2981,RESERVA EXTRATIVISTA MARINHA DE ITAIPU,NITERÓI (RJ)
0000.33.3058,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICHO PREGUIÇA,RIO DE JANEIRO (RJ)
0000.33.3445,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PILAR,MARICÁ (RJ)
0000.33.3517,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEITO DE POMBA,MACAÉ (RJ)
0000.33.3535,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARIO E ALBA CORRAL,MACAÉ (RJ)
0000.33.3903,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ILAN,ANGRA DOS REIS (RJ)
0000.33.3971,REFÚGIO DE VIDA SILVESTRE ESTADUAL DA SERRA DA ESTRELA,DUQUE DE CAXIAS (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ)
0000.33.4093,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PERTINHO DO CÉU,MANGARATIBA (RJ)
0000.35.0798,PARQUE ESTADUAL DA SERRA DO MAR,BERTIOGA (SP) - BIRITIBA MIRIM (SP) - CARAGUATATUBA (SP) - CUBATÃO (SP) - CUNHA (SP) - ITANHAÉM (SP) - JUQUITIBA (SP) - MOGI DAS CRUZES (SP) - MONGAGUÁ (SP) - NATIVIDADE DA SERRA (SP) - PARAIBUNA (SP) - PEDRO DE TOLEDO (SP) - PERUÍBE (SP) - PRAIA GRANDE (SP) - SALESÓPOLIS (SP) - SANTO ANDRÉ (SP) - SANTOS (SP) - SÃO BERNARDO DO CAMPO (SP) - SÃO LUIZ DO PARAITINGA (SP) - SÃO PAULO (SP) - SÃO SEBASTIÃO (SP) - SÃO VICENTE (SP) - UBATUBA (SP)
0000.35.0817,ESTAÇÃO ECOLÓGICA CHAÚAS,IGUAPE (SP)
0000.35.0833,PARQUE ESTADUAL XIXOVÁ-JAPUÍ,PRAIA GRANDE (SP) - SÃO VICENTE (SP)
0000.35.0834,PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,SANTOS (SP)
0000.35.0841,PARQUE ESTADUAL DA ILHA DO CARDOSO,CANANÉIA (SP)
0000.35.0855,PARQUE ESTADUAL DE ILHABELA,ILHABELA (SP)
0000.35.0856,PARQUE ESTADUAL DA ILHA ANCHIETA,UBATUBA (SP)
0000.35.0862,ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,IGUAPE (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP)
0000.35.1677,PARQUE ESTADUAL DO ITINGUÇU,IGUAPE (SP) - PERUÍBE (SP)
0000.35.1678,PARQUE ESTADUAL LAGAMAR DE CANANEIA,CANANÉIA (SP) - JACUPIRANGA (SP)
0000.35.1679,PARQUE ESTADUAL DO PRELADO,IGUAPE (SP)
0000.35.1681,REFÚGIO DE VIDA SILVESTRE DAS ILHAS DO ABRIGO E GUARARITAMA,PERUÍBE (SP)
0000.35.1685,RESERVA EXTRATIVISTA ILHA DO TUMBA,CANANÉIA (SP)
0000.35.1686,RESERVA EXTRATIVISTA TAQUARI,CANANÉIA (SP)
0000.35.1687,RDS DA BARRA DO UNA,PERUÍBE (SP)
0000.35.1689,RDS DO DESPRAIADO,IGUAPE (SP)
0000.35.1693,RDS ITAPANHAPIMA,CANANÉIA (SP)
0000.35.1702,APA ILHA COMPRIDA,ILHA COMPRIDA (SP)
0000.35.1721,ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE,CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)
0000.35.1722,ARIE DE SÃO SEBASTIÃO,CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)
0000.35.1723,APA MARINHA DO LITORAL CENTRO,BERTIOGA (SP) - GUARUJÁ (SP) - ITANHAÉM (SP) - MONGAGUÁ (SP) - PERUÍBE (SP) - PRAIA GRANDE (SP) - SANTOS (SP) - SÃO VICENTE (SP)
0000.35.1724,APA MARINHA DO LITORAL SUL,CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP)
0000.35.1725,ARIE DO GUARÁ,ILHA COMPRIDA (SP)
0000.35.1964,PARQUE ESTADUAL RESTINGA DE BERTIOGA,BERTIOGA (SP)
0000.35.2318,RPPN SERRA DO ITATINS,IGUAPE (SP)
0000.35.2843,ARIE ZONA DE VIDA SILVESTRE DA APA DA ILHA COMPRIDA,ILHA COMPRIDA (SP)
0000.35.3425,RPPN MARINA DO CONDE,GUARUJÁ (SP)
0000.35.4323,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MATA NATIVA,IGUAPE (SP)
0000.35.4335,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO TAGUAÍBA II,ITANHAÉM (SP)
0000.41.0496,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL GUARAQUEÇABA,GUARAQUEÇABA (PR)
0000.41.0497,ESTAÇÃO ECOLÓGICA DO GUARAGUAÇU,PARANAGUÁ (PR)
0000.41.0500,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,GUARATUBA (PR) - MATINHOS (PR) - MORRETES (PR) - PARANAGUÁ (PR) - SÃO JOSÉ DOS PINHAIS (PR) - TIJUCAS DO SUL (PR)
0000.41.0512,PARQUE ESTADUAL DO RIO DA ONÇA,MATINHOS (PR)
0000.41.0514,PARQUE ESTADUAL DO BOGUAÇU,GUARATUBA (PR)
0000.41.0518,PARQUE ESTADUAL DO PAU-OCO,MORRETES (PR)
0000.41.0521,FLORESTA ESTADUAL DO PALMITO,PARANAGUÁ (PR)
0000.41.0524,PARQUE ESTADUAL ROBERTO RIBAS LANGE,ANTONINA (PR) - MORRETES (PR)
0000.41.0528,ESTAÇÃO ECOLÓGICA DA ILHA DO MEL,PARANAGUÁ (PR)
0000.41.0529,PARQUE ESTADUAL DA ILHA DO MEL,PARANAGUÁ (PR)
0000.41.0532,PARQUE ESTADUAL PICO PARANÁ,ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR)
0000.41.0540,PARQUE ESTADUAL DO PICO MARUMBI,MORRETES (PR) - PIRAQUARA (PR) - QUATRO BARRAS (PR)
0000.41.0541,PARQUE ESTADUAL DA GRACIOSA,MORRETES (PR)
0000.41.4987,ESTAÇÃO ECOLÓGICA RIO DAS POMBAS,MATINHOS (PR) - PARANAGUÁ (PR) - PONTAL DO PARANÁ (PR)
0000.42.0786,PARQUE ESTADUAL DA SERRA DO TABULEIRO,ÁGUAS MORNAS (SC) - FLORIANÓPOLIS (SC) - IMARUÍ (SC) - PALHOÇA (SC) - PAULO LOPES (SC) - SANTO AMARO DA IMPERATRIZ (SC) - SÃO BONIFÁCIO (SC) - SÃO MARTINHO (SC)
0000.42.0791,PARQUE ESTADUAL ACARAI,SÃO FRANCISCO DO SUL (SC)
0000.42.1844,PARQUE ESTADUAL DO RIO VERMELHO,FLORIANÓPOLIS (SC)
0000.42.3950,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL MORRO DO MOREIRA,PORTO BELO (SC)
0000.42.3953,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL AROEIRA VERMELHA,ITAJAÍ (SC)
