Código UC,Nome da UC,Municípios Abrangidos
0000.00.0225,RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAÍBA,ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - ILHA GRANDE (PI)
0000.00.0227,RESERVA EXTRATIVISTA MARACANÃ,MARACANÃ (PA)
0000.00.0228,RESERVA EXTRATIVISTA DE SÃO JOÃO DA PONTA,SÃO JOÃO DA PONTA (PA)
0000.00.0231,RESERVA EXTRATIVISTA DO BATOQUE,AQUIRAZ (CE)
0000.00.0234,RESERVA EXTRATIVISTA MANDIRA,CANANÉIA (SP)
0000.00.0243,RESERVA EXTRATIVISTA MÃE GRANDE DE CURUÇÁ,CURUÇÁ (PA)
0000.00.0245,RESERVA EXTRATIVISTA MARINHA DA BAÍA DO IGUAPE,CACHOEIRA (BA) - MARAGOGIPE (BA) - SÃO FÉLIX (BA)
0000.00.0246,RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ,JEQUIÁ DA PRAIA (AL)
0000.00.0247,RESERVA EXTRATIVISTA MARINHA DE ARAÍ-PEROBA,AUGUSTO CORRÊA (PA) - VISEU (PA)
0000.00.0248,RESERVA EXTRATIVISTA MARINHA CAETÉ-TAPERAÇU,BRAGANÇA (PA)
0000.00.0249,RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ,VISEU (PA)
0000.00.0250,RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA,TRACUATEUA (PA)
0000.00.0251,RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO,ARARUAMA (RJ) - ARRAIAL DO CABO (RJ) - CABO FRIO (RJ)
0000.00.0252,RESERVA EXTRATIVISTA MARINHA DO CORUMBAU,PORTO SEGURO (BA) - PRADO (BA)
0000.00.0253,RESERVA EXTRATIVISTA DE CANAVIEIRAS,BELMONTE (BA) - CANAVIEIRAS (BA) - UNA (BA)
0000.00.0254,RESERVA EXTRATIVISTA MARINHA DE SOURE,SOURE (PA)
0000.00.0255,RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ,FLORIANÓPOLIS (SC)
0000.00.0263,ESTAÇÃO ECOLÓGICA DA GUANABARA,GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - SÃO GONÇALO (RJ)
0000.00.0269,FLORESTA NACIONAL DO IBURA,LARANJEIRAS (SE) - NOSSA SENHORA DO SOCORRO (SE)
