Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0055;ESTAÇÃO ECOLÓGICA DE IQUÊ;Federal;Estação Ecológica;Category Ia;MT;1981;Decreto 86061 de 02/06/1981;-;Juína (MT);Não;Sim;222.553;0;0;222.553;0;0;0;0
0000.00.0056;ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES;Federal;Estação Ecológica;Category Ia;AM;1983;Decreto 88541 de 21/07/1983;Recategorização - Portaria 375 de 11/10/2001;Amaturá (AM), Jutaí (AM), Santo Antônio do Içá (AM), Tonantins (AM);Não;Sim;289.514;289.514;0;0;0;0;0;0
0000.00.0057;ESTAÇÃO ECOLÓGICA DE MARACÁ;Federal;Estação Ecológica;Category Ia;RR;1981;Decreto 86061 de 02/06/1981;-;Amajari (RR), Alto Alegre (RR);Sim;Sim;103.536;103.536;0;0;0;0;0;0
0000.00.0058;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;Decreto 86061 de 02/06/1981;-;Amapá (AP);Sim;Sim;58.756;56.513;0;0;0;0;0;2.243
0000.00.0059;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;Decreto S/N de 28/05/2001;-;Murici (AL), Messias (AL), Flexeiras (AL);Sim;Sim;6.132;0;0;0;6.132;0;0;0
0000.00.0060;ESTAÇÃO ECOLÓGICA DE NIQUIÁ;Federal;Estação Ecológica;Category Ia;RR;1985;Decreto 91306 de 03/06/1985;-;Caracaraí (RR);Sim;Sim;306.391;306.391;0;0;0;0;0;0
0000.00.0061;ESTAÇÃO ECOLÓGICA DE PIRAPITINGA;Federal;Estação Ecológica;Category Ia;MG;1987;Decreto 94656 de 20/07/1987;-;Morada Nova de Minas (MG);Não;Sim;1.384;0;0;1.384;0;0;0;0
0000.00.0062;ESTAÇÃO ECOLÓGICA DE TAIAMÃ;Federal;Estação Ecológica;Category Ia;MT;1981;Decreto 86061 de 02/06/1981;Regulamentação - Instrução Normativa 9 de 27/04/2009;Poconé (MT), Cáceres (MT);Sim;Sim;11.555;0;0;0;0;0;11.555;0
0000.00.0063;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;Decreto 98864 de 23/01/1990;-;Angra dos Reis (RJ), Parati (RJ);Sim;Sim;8.660;0;0;0;192;0;0;8.469
0000.00.0064;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;Decreto 94656 de 20/07/1987;-;São Sebastião (SP), Ubatuba (SP);Sim;Sim;2.464;0;0;0;27;0;0;2.437
0000.00.0065;ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA;Federal;Estação Ecológica;Category Ia;PI;1981;Decreto 86061 de 02/06/1981;-;Bom Jesus (PI), Santa Filomena (PI), Baixa Grande do Ribeiro (PI);Não;Não;135.122;0;0;135.122;0;0;0;0
0000.00.0066;ESTAÇÃO ECOLÓGICA DO CASTANHÃO;Federal;Estação Ecológica;Category Ia;CE;2001;Decreto S/N de 27/09/2001;-;Jaguaribe (CE), Jaguaribara (CE), Alto Santo (CE);Não;Não;12.580;0;12.580;0;0;0;0;0
0000.00.0067;ESTAÇÃO ECOLÓGICA DO JARI;Federal;Estação Ecológica;Category Ia;AP, PA;1982;Decreto 87092 de 12/04/1982;Ampliação - Decreto 89440 de 13/03/1984;Laranjal do Jari (AP), Almeirim (PA);Não;Sim;231.087;231.087;0;0;0;0;0;0
