ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
22,0000.00.0022,,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO,Federal,Área de Proteção Ambiental,Category V,PA,1989,1989,Decreto 97718 de 05/05/1989,Sem informação.,PARAUAPEBAS (PA),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,23282.74361,23282.74361,20637,,23282.74361,0,0,0,0,0,0,Amazônia,Uso Sustentável,0,1,,0,0,0,,,,,,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
23,0000.00.0023,,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,Federal,Área de Proteção Ambiental,Category V,"DF, GO",2002,2002,Decreto s/n de 10/01/2002,Sem informação.,BRASÍLIA (DF) - PADRE BERNARDO (GO) - PLANALTINA (GO),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,503419.3176,503419.3176,503423.36,,0,0,503419.3176,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Cerrado,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
24,0000.00.0024,,ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO ARAGUAIA,Federal,Área de Proteção Ambiental,Category V,"GO, MT, TO",1998,1998,Decreto S/N de 02/10/1998,Sem informação.,COCALINHO (MT) - FORMOSO DO ARAGUAIA (TO) - NOVA CRIXÁS (GO) - SANDOLÂNDIA (TO) - SÃO MIGUEL DO ARAGUAIA (GO),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,359192.0464,359192.0464,357126,,0,0,359192.0464,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
25,0000.00.0025,,ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,Federal,Área de Proteção Ambiental,Category V,"MS, PR, SP",1997,1997,Decreto S/N de 30/09/1997,Sem informação.,ALTÔNIA (PR) - ALTO PARAÍSO (PR) - BATAYPORÃ (MS) - DIAMANTE DO NORTE (PR) - ELDORADO (MS) - GUAÍRA (PR) - ICARAÍMA (PR) - IGUATEMI (MS) - ITAQUIRAÍ (MS) - IVATÉ (PR) - IVINHEMA (MS) - JAPORÃ (MS) - JATEÍ (MS) - MARILENA (PR) - MUNDO NOVO (MS) - NAVIRAÍ (MS) - NOVA ANDRADINA (MS) - NOVA LONDRINA (PR) - NOVO HORIZONTE DO SUL (MS) - PORTO RICO (PR) - QUERÊNCIA DO NORTE (PR) - ROSANA (SP) - SANTA CRUZ DE MONTE CASTELO (PR) - SÃO JORGE DO PATROCÍNIO (PR) - SÃO PEDRO DO PARANÁ (PR) - TAQUARUSSU (MS) - TERRA ROXA (PR),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1005190.318,1005190.318,1003059,,0,0,33.59700128,1005156.721,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,0,0,,,,,RB - Mt Atlântica,Polígono corresponde ao memorial descritivo,"sexta-feira, 26 de agosto de 2011"
27,0000.00.0027,,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,Federal,Área de Proteção Ambiental,Category V,MG,1990,1990,Decreto 98891 de 26/01/1990,Sem informação.,CONCEIÇÃO DO MATO DENTRO (MG) - ITABIRA (MG) - ITAMBÉ DO MATO DENTRO (MG) - JABOTICATUBAS (MG) - MORRO DO PILAR (MG) - NOVA UNIÃO (MG) - SANTANA DO RIACHO (MG) - TAQUARAÇU DE MINAS (MG),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,131770.846,131770.846,100431,,0,0,124956.9041,6813.941901,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,Mosaico Serra do Cipó,"RB - Mt Atlântica, RB - Serra do Espinhaço",Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
28,0000.00.0028,,ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,Federal,Área de Proteção Ambiental,Category V,"BA, GO",2001,2023,Decreto S/N de 27/09/2001,Revisão dos limites: Outros Nota Técnica nº 226/2022/CCOL de 23/05/2023,BURITINÓPOLIS (GO) - DAMIANÓPOLIS (GO) - JABORANDI (BA) - MAMBAÍ (GO) - POSSE (GO),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,173968.0522,173968.0522,176159,,0,0,173968.0522,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Cerrado,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
29,0000.00.0029,,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,Federal,Área de Proteção Ambiental,Category V,"CE, PI",1996,1996,Decreto s/n de 26/11/1996,Sem informação.,BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1628450.312,1628450.312,1592550,,0,984977.766,643472.546,0,0,0,0,Caatinga,Uso Sustentável,0,1,,0,1,1,,,,,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
30,0000.00.0030,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA,Federal,Área de Relevante Interesse Ecológico,Category IV,SP,1990,1990,Decreto 99276 de 06/06/1990,Sem informação.,SANTA RITA DO PASSA QUATRO (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,150.979417,150.979417,149,,0,0,150.979417,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Mt Atlântica,Polígono corresponde ao memorial descritivo,"sexta-feira, 26 de agosto de 2011"
31,0000.00.0031,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA,Federal,Área de Relevante Interesse Ecológico,Category IV,DF,1985,1985,Decreto 91.303 de 03/06/1985,Sem informação.,BRASÍLIA (DF),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,2057.235274,2057.235274,2100,,0,0,2057.235274,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Cerrado,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
32,0000.00.0032,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,Federal,Área de Relevante Interesse Ecológico,Category IV,SP,1990,1990,Decreto 99275 de 06/06/1990,Sem informação.,SANTA RITA DO PASSA QUATRO (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1199.061966,1199.061966,1060,,0,0,1199.061966,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
